"ser_time","unser_time","block_size","difference","method"
0.00100000000000033,0.00100000000000033,100,0,"serialize_Rcpp"
0.00499999999999989,0.00100000000000033,100,0,"RDS"
0.0739999999999998,0.00399999999999956,100,0,"fst"
0.0550000000000006,0.000999999999999446,100,0,"qs"
0.0150000000000006,0.00199999999999978,100,0,"RMVL"
0.00999999999999979,0.00699999999999967,500,0,"serialize_Rcpp"
0.138,0.0110000000000001,500,0,"RDS"
0.00600000000000023,0.00499999999999989,500,0,"fst"
0.00199999999999978,0.000999999999999446,500,0,"qs"
0.00199999999999978,0.00199999999999978,500,0,"RMVL"
0.0209999999999999,0.0129999999999999,1000,0,"serialize_Rcpp"
0.327,0.0460000000000003,1000,0,"RDS"
0.0469999999999997,0.00899999999999945,1000,0,"fst"
0.00700000000000056,0.00399999999999956,1000,0,"qs"
0.00499999999999989,0.0360000000000005,1000,0,"RMVL"
0.555,0.424,5000,0,"serialize_Rcpp"
8.268,1.146,5000,0,"RDS"
0.460999999999999,0.228000000000002,5000,0,"fst"
0.145000000000003,0.0819999999999972,5000,0,"qs"
0.111999999999998,0.206,5000,0,"RMVL"
1.986,1.505,10000,0,"serialize_Rcpp"
31.849,4.505,10000,0,"RDS"
1.294,0.923000000000002,10000,0,"fst"
0.564999999999998,0.516000000000005,10000,0,"qs"
0.447999999999993,0.656000000000006,10000,0,"RMVL"
7.646,5.80500000000001,20000,0,"serialize_Rcpp"
131.008,17.857,20000,0,"RDS"
5.18299999999999,2.536,20000,0,"fst"
2.26700000000005,2.02999999999997,20000,0,"qs"
1.762,2.58699999999999,20000,0,"RMVL"
18.563,12.976,30000,0,"serialize_Rcpp"
296.473,39.362,30000,0,"RDS"
9.67500000000007,6.31600000000003,30000,0,"fst"
5.024,4.50800000000004,30000,0,"qs"
3.95600000000002,4.81399999999996,30000,0,"RMVL"
